City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Anadyr,RU,64.75,177.4833,-4.0,77,20,13.42,few clouds
1,Yellowknife,CA,62.456,-114.3525,9.0,61,20,9.22,few clouds
2,Charleston,US,32.7766,-79.9309,84.2,73,1,14.97,clear sky
3,Meulaboh,ID,4.1363,96.1285,76.23,84,100,1.39,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,79.23,71,1,18.88,clear sky
5,Mzimba,MW,-11.9,33.6,61.95,98,100,0.89,light rain
6,Ondjiva,AO,-17.0667,15.7333,69.04,77,56,3.29,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,69.12,88,100,14.2,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,51.8,54,40,8.05,scattered clouds
9,Mataura,NZ,-46.1927,168.8643,57.0,83,100,1.99,light rain
10,New Norfolk,AU,-42.7826,147.0587,54.0,80,100,1.83,light rain
11,Vrangel,RU,42.7297,133.0839,35.47,75,100,6.26,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,53.6,58,75,12.66,broken clouds
13,Changping,CN,40.2186,116.2197,54.0,100,54,2.24,mist
14,Hami,CN,42.8,93.45,55.72,27,60,6.89,broken clouds
15,Cabo San Lucas,MX,22.8909,-109.9124,75.99,53,40,13.8,scattered clouds
16,Olafsvik,IS,64.8945,-23.7142,19.47,66,95,19.42,overcast clouds
17,Barrow,US,71.2906,-156.7887,-13.0,92,1,3.58,clear sky
18,Port Elizabeth,ZA,-33.918,25.5701,68.0,73,20,27.63,few clouds
19,Kangaatsiaq,GL,68.3065,-53.4641,-8.19,88,82,9.53,broken clouds
20,Cidreira,BR,-30.1811,-50.2056,76.23,83,98,8.12,moderate rain
21,Dingle,PH,10.9995,122.6711,75.2,91,75,7.14,broken clouds
22,Souillac,MU,-20.5167,57.5167,77.0,94,75,3.44,broken clouds
23,Havelock,US,34.8791,-76.9013,69.01,75,100,12.64,moderate rain
24,Chaohu,CN,31.6,117.8667,57.99,94,75,8.95,mist
25,Torbay,CA,47.6666,-52.7314,48.2,81,75,17.27,broken clouds
26,Pangnirtung,CA,66.1451,-65.7125,-13.0,70,20,24.16,snow
27,Kavaratti,IN,10.5669,72.642,82.9,74,25,3.91,scattered clouds
28,Muros,ES,42.7762,-9.0603,51.01,71,74,10.4,broken clouds
29,Hithadhoo,MV,-0.6,73.0833,82.33,71,92,6.71,overcast clouds
30,Bogorodskoye,RU,56.55,37.8833,32.18,98,100,2.82,overcast clouds
31,Malindi,KE,-3.2175,40.1191,82.4,78,20,9.22,few clouds
32,Ponta Delgada,PT,37.7333,-25.6667,57.2,67,20,8.05,few clouds
33,Hobart,AU,-42.8794,147.3294,55.4,94,75,6.91,moderate rain
34,Fortuna,US,40.5982,-124.1573,57.99,71,1,13.8,clear sky
35,Vardo,NO,70.3705,31.1107,28.4,80,0,25.32,clear sky
36,San Cristobal,VE,7.7669,-72.225,75.2,94,75,4.61,fog
37,Saskylakh,RU,71.9167,114.0833,-3.66,100,99,3.42,overcast clouds
38,Port Macquarie,AU,-31.4333,152.9167,62.01,93,100,5.46,overcast clouds
39,Yulara,AU,-25.2406,130.9889,73.4,68,75,5.75,broken clouds
40,Hermanus,ZA,-34.4187,19.2345,63.0,78,2,1.01,light rain
41,Chabahar,IR,25.2919,60.643,75.94,73,92,5.41,overcast clouds
42,Caravelas,BR,-17.7125,-39.2481,77.18,73,0,5.68,clear sky
43,Vanimo,PG,-2.6741,141.3028,76.46,89,99,4.16,overcast clouds
44,Talcahuano,CL,-36.7167,-73.1167,69.8,52,0,17.27,clear sky
45,Thompson,CA,55.7435,-97.8558,24.8,86,90,8.05,light snow
46,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,90,9.22,light snow
47,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,10.36,few clouds
48,Moose Factory,CA,51.2585,-80.6094,15.8,67,1,10.36,clear sky
49,Cadereyta,MX,25.5833,-99.9833,87.01,19,1,8.05,clear sky
50,Hilo,US,19.7297,-155.09,82.4,47,20,6.91,few clouds
51,Kuvandyk,RU,51.4781,57.3552,27.43,97,100,4.36,light snow
52,Carnarvon,AU,-24.8667,113.6333,75.2,73,100,12.66,overcast clouds
53,Bengkulu,ID,-3.8004,102.2655,76.55,90,97,3.4,light rain
54,Chuy,UY,-33.6971,-53.4616,72.84,85,100,5.5,moderate rain
55,Sao Filipe,CV,14.8961,-24.4956,70.47,75,16,14.47,few clouds
56,Busselton,AU,-33.65,115.3333,59.52,82,73,5.3,broken clouds
57,Isangel,VU,-19.55,169.2667,80.38,77,11,6.44,few clouds
58,Urucui,BR,-7.2294,-44.5561,75.65,90,99,2.93,overcast clouds
59,Goksun,TR,38.021,36.4973,39.2,81,40,18.41,scattered clouds
60,Baghdad,IQ,33.3406,44.4009,66.2,34,0,3.44,clear sky
61,Qaanaaq,GL,77.484,-69.3632,-7.87,65,100,5.1,overcast clouds
62,Albany,US,42.6001,-73.9662,75.2,35,75,27.63,broken clouds
63,Foso,GH,5.7012,-1.2866,77.88,83,25,6.2,scattered clouds
64,Vaini,TO,-21.2,-175.2,80.6,89,40,10.36,scattered clouds
65,Namibe,AO,-15.1961,12.1522,73.96,83,100,7.83,overcast clouds
66,Kaitangata,NZ,-46.2817,169.8464,57.45,70,84,2.1,broken clouds
67,Georgetown,MY,5.4112,100.3354,78.01,94,20,1.14,few clouds
68,Kapaa,US,22.0752,-159.319,77.0,88,40,5.75,scattered clouds
69,Severo-Kurilsk,RU,50.6789,156.125,26.65,89,100,18.48,light snow
70,Xinglongshan,CN,43.9561,125.4661,50.0,57,75,15.66,light rain
71,Kloulklubed,PW,7.0419,134.2556,77.0,94,75,6.91,broken clouds
72,Shingu,JP,33.7333,135.9833,45.55,45,49,4.52,scattered clouds
73,Atar,MR,20.5169,-13.0499,83.8,9,9,4.47,clear sky
74,Cape Town,ZA,-33.9258,18.4232,66.99,82,75,12.66,light rain
75,Bronnoysund,NO,65.4625,12.1997,46.4,57,0,24.16,clear sky
76,Santa Maria,BR,-29.6842,-53.8069,73.4,94,75,5.75,moderate rain
77,Roald,NO,62.5833,6.1333,46.4,71,75,18.41,light rain
78,Aguining,PH,10.0861,124.5944,79.03,81,100,4.81,overcast clouds
79,Guerrero Negro,MX,27.9769,-114.0611,63.93,50,0,16.37,clear sky
80,Morshansk,RU,53.4435,41.8107,33.55,99,100,4.63,overcast clouds
81,Inirida,CO,3.8653,-67.9239,75.51,95,100,2.48,moderate rain
82,San Jeronimo,PE,-11.9472,-75.2829,60.51,59,86,4.23,overcast clouds
83,Baixa Grande,BR,-11.9597,-40.1681,80.69,38,34,5.28,scattered clouds
84,Porkhov,RU,57.765,29.5561,28.4,100,10,2.73,mist
