City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mayumba,GA,2021-03-26 19:36:07,-3.432,10.6554,79.32,78,100,5.79
1,Busselton,AU,2021-03-26 19:33:02,-33.65,115.3333,46.99,93,61,5.7
2,Carballo,ES,2021-03-26 19:36:07,43.213,-8.691,50.0,81,62,3.96
3,Mataura,NZ,2021-03-26 19:36:08,-46.1927,168.8643,57.99,79,100,3.0
4,Jamestown,US,2021-03-26 19:35:04,42.097,-79.2353,41.0,93,90,17.34
5,Cedar City,US,2021-03-26 19:32:36,37.6775,-113.0619,37.4,65,90,17.27
6,Ribeira Grande,PT,2021-03-26 19:36:09,38.5167,-28.7,62.6,51,20,12.66
7,Lavrentiya,RU,2021-03-26 19:36:09,65.5833,-171.0,-1.97,86,100,7.52
8,Ilulissat,GL,2021-03-26 19:36:10,69.2167,-51.1,-7.6,45,1,1.3
9,Bredasdorp,ZA,2021-03-26 19:34:13,-34.5322,20.0403,64.4,68,0,8.05
10,Luena,AO,2021-03-26 19:36:10,-11.7833,19.9167,63.27,98,100,3.49
11,Bluff,NZ,2021-03-26 19:36:10,-46.6,168.3333,57.99,79,100,3.0
12,Kapaa,US,2021-03-26 19:36:10,22.0752,-159.319,75.2,88,75,5.46
13,Ushuaia,AR,2021-03-26 19:36:11,-54.8,-68.3,51.8,54,40,9.22
14,Dikson,RU,2021-03-26 19:36:11,73.5069,80.5464,-9.85,100,100,10.74
15,Ponta Do Sol,PT,2021-03-26 19:36:11,32.6667,-17.1,66.2,88,40,8.05
16,Ipixuna,BR,2021-03-26 19:36:12,-1.7625,-48.8043,82.4,74,40,6.91
17,Port Elizabeth,ZA,2021-03-26 19:36:12,-33.918,25.5701,68.0,77,0,25.32
18,Tasiilaq,GL,2021-03-26 19:36:12,65.6145,-37.6368,6.8,56,20,8.05
19,Kuchera,IN,2021-03-26 19:36:12,26.9839,73.9719,77.74,27,0,6.91
20,Margate,GB,2021-03-26 19:36:13,51.3813,1.3862,44.01,83,100,1.99
21,Tual,ID,2021-03-26 19:36:13,-5.6667,132.75,83.62,68,91,3.13
22,Lompoc,US,2021-03-26 19:36:14,34.6391,-120.4579,62.01,63,1,14.97
23,Natal,BR,2021-03-26 19:33:28,-5.795,-35.2094,80.6,89,75,12.66
24,Hilo,US,2021-03-26 19:36:14,19.7297,-155.09,80.6,54,1,4.61
25,Rikitea,PF,2021-03-26 19:36:14,-23.1203,-134.9692,79.32,71,2,19.19
26,Hithadhoo,MV,2021-03-26 19:36:15,-0.6,73.0833,82.62,70,92,6.29
27,Makat,KZ,2021-03-26 19:36:15,47.6469,53.3463,35.64,96,100,16.35
28,Qaanaaq,GL,2021-03-26 19:36:15,77.484,-69.3632,-7.53,64,100,5.48
29,Pangnirtung,CA,2021-03-26 19:36:16,66.1451,-65.7125,-14.8,70,20,20.71
30,New Norfolk,AU,2021-03-26 19:36:16,-42.7826,147.0587,55.0,75,100,1.34
31,Dingle,PH,2021-03-26 19:36:16,10.9995,122.6711,75.74,90,68,6.87
32,Alofi,NU,2021-03-26 19:36:16,-19.0595,-169.9187,78.8,94,27,6.91
33,Yerbogachen,RU,2021-03-26 19:36:17,61.2767,108.0108,-2.72,100,78,3.51
34,Kawalu,ID,2021-03-26 19:36:17,-7.3817,108.2082,72.36,96,88,1.43
35,Vaini,TO,2021-03-26 19:36:17,-21.2,-175.2,77.0,100,75,5.75
36,Chippewa Falls,US,2021-03-26 19:36:18,44.9369,-91.3929,37.4,60,1,3.44
37,Mount Gambier,AU,2021-03-26 19:31:55,-37.8333,140.7667,53.6,94,36,8.05
38,Mount Isa,AU,2021-03-26 19:36:18,-20.7333,139.5,69.8,37,0,6.91
39,Hobart,AU,2021-03-26 19:31:30,-42.8794,147.3294,57.2,77,75,5.75
40,Inhambane,MZ,2021-03-26 19:36:20,-23.865,35.3833,78.8,83,40,8.05
41,Riyadh,SA,2021-03-26 19:35:19,24.6877,46.7219,87.8,11,0,10.36
42,Cabo San Lucas,MX,2021-03-26 19:36:20,22.8909,-109.9124,78.01,56,40,5.75
43,Soyo,AO,2021-03-26 19:36:20,-6.1349,12.3689,78.89,80,98,3.98
44,Kruisfontein,ZA,2021-03-26 19:36:20,-34.0033,24.7314,68.0,67,28,1.99
45,Isangel,VU,2021-03-26 19:36:21,-19.55,169.2667,78.55,83,13,6.11
46,Sao Filipe,CV,2021-03-26 19:36:21,14.8961,-24.4956,71.4,73,13,18.19
47,Lincoln,US,2021-03-26 19:32:05,40.8,-96.667,52.0,62,90,14.97
48,Pangody,RU,2021-03-26 19:36:22,65.85,74.4859,0.68,95,17,9.06
49,Esperance,AU,2021-03-26 19:36:22,-33.8667,121.9,55.4,88,0,10.36
50,Port Alfred,ZA,2021-03-26 19:36:22,-33.5906,26.891,69.37,87,100,6.22
51,Punta Arenas,CL,2021-03-26 19:36:22,-53.15,-70.9167,53.6,58,75,19.57
52,Pionerskiy,RU,2021-03-26 19:36:23,54.9508,20.2275,41.0,81,13,6.71
53,Estelle,US,2021-03-26 19:35:58,29.8458,-90.1067,84.0,83,90,14.97
54,Warwick,US,2021-03-26 19:36:23,41.7001,-71.4162,61.0,88,90,18.41
55,San Patricio,US,2021-03-26 19:36:23,28.017,-97.5169,82.0,44,20,12.66
56,Westport,US,2021-03-26 19:36:24,41.1415,-73.3579,72.0,82,1,11.5
57,Chuy,UY,2021-03-26 19:36:24,-33.6971,-53.4616,72.84,85,100,5.5
58,Aban,RU,2021-03-26 19:36:24,56.67,96.06,22.19,96,100,7.18
59,Sitka,US,2021-03-26 19:36:25,57.0531,-135.33,39.2,93,90,6.91
60,Namatanai,PG,2021-03-26 19:36:25,-3.6667,152.4333,78.91,81,100,6.46
61,Carnarvon,AU,2021-03-26 19:36:25,-24.8667,113.6333,75.2,73,100,13.8
62,Yellowknife,CA,2021-03-26 19:31:54,62.456,-114.3525,16.0,66,20,8.05
63,Karaj,IR,2021-03-26 19:31:46,35.8355,51.0103,60.8,33,40,4.61
64,Polur,IN,2021-03-26 19:36:26,12.5,79.1333,74.61,82,3,2.21
65,Butaritari,KI,2021-03-26 19:36:26,3.0707,172.7902,80.82,80,61,15.26
66,Calvinia,ZA,2021-03-26 19:36:26,-31.4707,19.776,57.07,72,0,8.79
